myek	myeks	V;PRS;3;SG	C180
myek	made	V;PST	C180
myek	myekin	V;V.PTCP;PRS	C180
myek	made	V;V.PTCP;PST	C180
abye	abyes	V;PRS;3;SG	C179
abye	abought	V;PST	C179
abye	abying	V;V.PTCP;PRS	C179
abye	abought	V;V.PTCP;PST	C179
tyek	tyeks	V;PRS;3;SG	C178
tyek	teuk	V;PST	C178
tyek	tyekin	V;V.PTCP;PRS	C178
tyek	tyeken	V;V.PTCP;PST	C178
aby	abys	V;PRS;3;SG	C177
aby	abought	V;PST	C177
aby	abying	V;V.PTCP;PRS	C177
aby	abought	V;V.PTCP;PST	C177
betwynde	betwyndes	V;PRS;3;SG	C176
betwynde	betwound	V;PST	C176
betwynde	betwynding	V;V.PTCP;PRS	C176
betwynde	betwound	V;V.PTCP;PST	C176
reacidify	reacidifies	V;PRS;3;SG	C175
reacidify	reacidified	V;PST	C175
reacidify	reacidifing	V;V.PTCP;PRS	C175
reacidify	reacidified	V;V.PTCP;PST	C175
labefy	labefies	V;PRS;3;SG	C174
labefy	labefied	V;PST	C174
labefy	labifying	V;V.PTCP;PRS	C174
labefy	labefied	V;V.PTCP;PST	C174
deeky	deekies	V;PRS;3;SG	C173
deeky	deekied	V;PST	C173
deeky	deekyin	V;V.PTCP;PRS	C173
deeky	deekied	V;V.PTCP;PST	C173
photoidentify	photodentifies	V;PRS;3;SG	C172
photoidentify	photoidentified	V;PST	C172
photoidentify	photoidentifying	V;V.PTCP;PRS	C172
photoidentify	photoidentified	V;V.PTCP;PST	C172
forebusy	forbusies	V;PRS;3;SG	C171
forebusy	forebusied	V;PST	C171
forebusy	forebusying	V;V.PTCP;PRS	C171
forebusy	forebusied	V;V.PTCP;PST	C171
colloquy	colloquys	V;PRS;3;SG	C170
colloquy	colloquied	V;PST	C170
colloquy	colloquying	V;V.PTCP;PRS	C170
colloquy	colloquied	V;V.PTCP;PST	C170
prepay	prepays	V;PRS;3;SG	C169
prepay	prepaid	V;PST	C169
prepay	prepaying	V;V.PTCP;PRS	C169
prepay	prepayed	V;V.PTCP;PST	C169
torive	torives	V;PRS;3;SG	C168
torive	torift	V;PST	C168
torive	toriving	V;V.PTCP;PRS	C168
torive	torift	V;V.PTCP;PST	C168
cum	cums	V;PRS;3;SG	C167
