unget	ungot	V;PST	C096
reget	regot	V;PST	C096
get	got	V;PST	C096
outflee	outfled	V;PST	C095
beflee	befled	V;PST	C095
flee	fled	V;PST	C095
reswell	reswelled	V;PST	C094
swell	swelled	V;PST	C094
unswell	unswelled	V;PST	C094
slivercast	slivercasted	V;PST	C093
sidecast	sidecasted	V;PST	C093
bestead	besteaded	V;PST	C093
forbid	forbid	V;PST	C092
misbid	misbid	V;PST	C092
downtrod	downtrod	V;PST	C092
redig	redug	V;PST	C091
underdig	underdug	V;PST	C091
undig	undug	V;PST	C091
dig	dug	V;PST	C091
rin	ran	V;PST	C090
atrin	atran	V;PST	C090
begin	began	V;PST	C090
rebegin	rebegan	V;PST	C090
mak	maked	V;PST	C089
deek	deeked	V;PST	C089
stott	stotted	V;PST	C089
larn	larned	V;PST	C089
rendevous	rendevoused	V;PST	C088
gozz	gozzed	V;PST	C088
aks	aksed	V;PST	C088
rendezvous	rendezvoused	V;PST	C088
unchoose	unchose	V;PST	C087
forechoose	forechose	V;PST	C087
rechoose	rechose	V;PST	C087
mischoose	mischose	V;PST	C087
choose	chose	V;PST	C087
bedwell	bedwelt	V;PST	C086
dwell	dwelt	V;PST	C086
foresmell	foresmelt	V;PST	C086
outdwell	outdwelt	V;PST	C086
misspell	misspelt	V;PST	C086
overnim	overnam	V;PST	C085
overswim	overswam	V;PST	C085
swim	swam	V;PST	C085
upswim	upswam	V;PST	C085
outswim	outswam	V;PST	C085
downtread	downtrod	V;PST	C084
fortread	fortrod	V;PST	C084
overtread	overtrod	V;PST	C084
totread	totrod	V;PST	C084
betread	betrod	V;PST	C084
kape	kapt	V;PST	C083
forthclepe	forthclept	V;PST	C083
lose	lost	V;PST	C083
beclepe	beclept	V;PST	C083
unlose	unlost	V;PST	C083
rewake	rewoke	V;PST	C082
reawake	reawoke	V;PST	C082
forcarve	forcorve	V;PST	C082
wake	woke	V;PST	C082
awake	awoke	V;PST	C082
befly	beflew	V;PST	C081
outfly	outflew	V;PST	C081
upfly	upflew	V;PST	C081
refly	reflew	V;PST	C081
overfly	overflew	V;PST	C081
fly	flew	V;PST	C081
win	won	V;PST	C080
overwin	overwon	V;PST	C080
rewin	rewon	V;PST	C080
outwin	outwon	V;PST	C080
bewin	bewon	V;PST	C080
electrowin	electrowon	V;PST	C080
besteal	bestole	V;PST	C079
unsteal	unstole	V;PST	C079
forsteal	forstole	V;PST	C079
upsteal	upstole	V;PST	C079
overheal	overhole	V;PST	C079
steal	stole	V;PST	C079
unhide	unhid	V;PST	C078
rehide	rehid	V;PST	C078
autohide	autohid	V;PST	C078
hyde	hyd	V;PST	C078
hide	hid	V;PST	C078
backslide	backslid	V;PST	C078
chiv	chivved	V;PST	C077
rev	revved	V;PST	C077
overrev	overrevved	V;PST	C077
improv	improvved	V;PST	C077
nav	navved	V;PST	C077
shiv	shivved	V;PST	C077
inbeat	inbeat	V;PST	C076
overbeat	overbeat	V;PST	C076
browbeat	browbeat	V;PST	C076
tobeat	tobeat	V;PST	C076
beat	beat	V;PST	C076
forbeat	forbeat	V;PST	C076
